index,image_path,question,answer,type,A,B,C,D,E,F,G,H
0,Dataset/4_comp/output_data/na_ns_oc_up_center_single_down_center_single_RAVEN_9996_val.png,D
1,Dataset/4_comp/output_data/na_ns_oc_left_center_single_right_center_single_RAVEN_9978_test.png,C
2,Dataset/4_comp/output_data/na_ns_oc_center_single_RAVEN_9769_test.png,C
3,Dataset/4_comp/output_data/na_ns_oc_distribute_nine_RAVEN_9940_train.png,G
4,Dataset/4_comp/output_data/na_ns_oc_up_center_single_down_center_single_RAVEN_9973_train.png,E
5,Dataset/4_comp/output_data/na_ns_oc_distribute_four_RAVEN_9938_test.png,E
6,Dataset/4_comp/output_data/na_ns_oc_in_distribute_four_out_center_single_RAVEN_9967_val.png,G
7,Dataset/4_comp/output_data/na_ns_oc_distribute_four_RAVEN_9945_train.png,H
8,Dataset/4_comp/output_data/na_ns_oc_in_distribute_four_out_center_single_RAVEN_9965_train.png,F
9,Dataset/4_comp/output_data/na_ns_oc_distribute_nine_RAVEN_9945_train.png,B
10,Dataset/4_comp/output_data/na_ns_oc_center_single_RAVEN_9748_test.png,B
11,Dataset/4_comp/output_data/na_ns_oc_in_center_single_out_center_single_RAVEN_9964_train.png,F
12,Dataset/4_comp/output_data/na_ns_oc_in_center_single_out_center_single_RAVEN_9970_train.png,A
13,Dataset/4_comp/output_data/na_ns_oc_left_center_single_right_center_single_RAVEN_9975_train.png,B
